BTC_Archive,"saylor, AltcoinDailyio, 100trillionUSD, DocumentingBTC, intocryptoverse, TheCryptoLark, woonomic, CryptoMichNL, Davincij15, maxkeiser, PeterMcCormack, coryklippsten, natbrunell, naiivememe, PrestonPysh, TechDev_52, Dennis_Porter_, TheBitcoinConf","PhillipLat45356, JerseyJohn1580, sgdrone, Alshts0b, InflowTrades, LearnerBR, SamuelElias603, ne_crypto401, nancyy96, EdMar044, kyle9lee, JonnyMnemonic22, tylergreenberg_, creatorofnil, ARS_9_9, jihaoc82, EndFiat21M, marcochain007, RDR_Crypto, THT_TheHonTruth","saylor, AltcoinDailyio, 100trillionUSD, DocumentingBTC, intocryptoverse, woonomic, CryptoMichNL, Davincij15, maxkeiser, PeterMcCormack, RadarHits, natbrunell, naiivememe, PrestonPysh, TechDev_52, Dennis_Porter_, adam3us, rektcapital"
krakenfx,"Cointelegraph, HTX_Global, BTCTN, jespow, CertiKCommunity, miidasnft, ShibaInuHodler, lungdefi, InuKishu, ShibalnuNews, CJ_Reim, Yourpop8, bitcoinlfgo, CryptoInsightsX, DogelonMars, WhalesHQ, BitKanOfficial, BabydogeFuun","AxxolHodl, BROTHERPUMP, arbitrage_goku, iamzealouzs, sol_heisenberg, USMCXRP, aicontentonx, Autheo_Platform, BagnumGI, AlimKhamisa, coinbasebro, fraserclan2022, Csm19XD, karl_xbt, dr4gon_4, joinFIO","jespow, inkonchain, SpursWomen, SpursOfficial, Atleti, pdimitrakos, Crypto_ISAC, Bivu_D, Optimism, BitcoinMagazine, JDMikeJ, RaposaCoffeeCo, marklg, SuiChung2, Tim_Ogilvie, KrakenfxUK, BanklessHQ, BoysClubWorld, CoinDesk, cryptocasey"
BitcoinMagazine,"DocumentingBTC, Cointelegraph, TheCryptoLark, danheld, maxkeiser, BTCTN, coryklippsten, Breedlove22, natbrunell, TheBitcoinConf, PrestonPysh, adam3us, Dennis_Porter_, jackmallers, gladstein, hodlonaut, JeffBooth","pinksamurai_eth, BTC_for_Freedom, Big_Kwb, esotericunicoin, SLCKBTN, RobertLoughlin1, Archifanj, circle0z, EdMar044, 2020Achie, wolfdontbite, oddestjob, yusufmadenci0, magick_code, ARS_9_9, adnandgci1, marcochain007, freeeedom21, Lennybarr_, tweet_L_dee","DocumentingBTC, danheld, maxkeiser, coryklippsten, Breedlove22, natbrunell, TheBitcoinConf, PrestonPysh, adam3us, jackmallers, gladstein, JasonPLowery, hodlonaut, JeffBooth, FossGregfoss, Excellion, jimmysong"
naypyidaw,"MizzimaNews, dvbburmese, kingofea222, GiGO_nakama, hachinero_1977, ConofDes, 9PnZroairOh7sne, pTCefuQ9gW60555, utagawa_amano, kK27TJSvI1TCVgn, Abdinasir983, ErikaT38939, CHIWAWADOGE, DerioTheDeejay_, neki_dayoo, moon08saku","GiGO_nakama, hachinero_1977, ConofDes, pTCefuQ9gW60555, utagawa_amano, CHIWAWADOGE, neki_dayoo, yunyun_room, VoOOaAIc2A28155, DBK_NBK143, SolNftFinder, ota_games_, GarielRSA, PSR42_, xbot_365, Schisci9","MizzimaNews, DrSasa22222, Khithitofficial, RFABurmese, ZinMarAungNUG, MMCrypto, Myanmar_Now, VOABurmese, TayzarSan, bbcburmese, NUGMyanmar, MayWongCNA, JusticeMyanmar, aung_myo_minn, crypto_bitlord7, thinzashunleiyi, SAdamsR2P, ThanLwinTimes"
BitcoinFear,"BTC_Archive, TheCryptoLark, Davincij15, IncomeSharks, TechDev_52, Sheldon_Sniper, StockmoneyL, MatthewHyland_, Trader_Jibon, NewsAsset, CryptoPoseidonn, invest_answers, kyledoops, ctoLarsson, TylerSCrypto, phamduydong179, GertvanLagen, Roman_Trading, 888Velvet","LouisLiew18, NickElliott_, lisaktownsend13, mrcryptopants, ItCROHodler, JohnnyLeBl95527, Michael36X, SaiG0n_x, David_Grid, Levikni98, Antmantime, chuckpalm, SlantedJudgment, Bitcoin_Marine, Xmoothoperator, TheRealJoshHype, Woodman13991, iTellFibs, David_ahn17, thegravyguy","BTC_Archive, 100trillionUSD, EthereumFear, RealRossU, adam3us, elonmusk, officialmcafee, _RichardTeng, saylor, cz_binance, tyler, CuredSausage, CoinMarketCap, CryptoJobsList, DogecoinFear, CryptoSultan21, Bitcoin"
BTCFoundation,"BTCTN, rogerkver, WalkerAmerica, w_s_bitcoin, CharlieShrem, franfinney, bitcoinagile, BTC_LN, slezisatoshi, NSmolenski, bitcoinist, BitcoinBeachBR, ElectrumWallet, CryptoBoomNews, BittrexExchange, paullinator, newsbtc, Pyare92450319","bank_killrr, kanomaymay, EdgeVentures_, mopalach, gspbirddogs, douglasfaveroip, Digital_D4RK, rmaysmsi, _CaptainCarl_, NFTJunkie123, garcozy_, ScottJSmith11, theDAOKING, AlimKhamisa, The1RealMike, halseyminor, Scope360Journal, Rossmacdonald1, Raj_Monnappa, brennenschlu","DocumentingBTC, lopp, BTCTN, adam3us, TheBitcoinConf, Dennis_Porter_, jimmysong, Excellion, pete_rizzo_, rogerkver, Vivek4real_, blockchain, aantonop, CharlieShrem, peterktodd, franfinney, TimDraper, Bitstamp"
bitcoingold,"CarrieRasm46288, Benjamin1530269, tinytusam, KatherineR88916, RubenMarti76636, MaryHerrer26180, SusanAcost46859, JeffreyPen33954, SGHongYan, FlyHigh1213288, punpods, SSolanda82107","k8vail, ne_crypto401, Digital_D4RK, CMH1085, aliesen104, tekzer0, LuteenAlbum, rmaysmsi, 7KTEypSZpbCAaiE, Mbeezy0129, MericOzguven, DaniForPeace, xgtele, Jen_Valenti, Crypto_Mubit, GinieJoe, Zeljko30321, rberman84, Heather12494699, Blu_Cheese","BTCTN, litecoin, rogerkver, Poloniex, Dashpay, crypto_rand, exodus_io, bitfinex, monero, CharlieShrem, blockchain, BasedBeffJezos, BiconomyCom, bitcoinist, PhalaNetwork, nlw, BioneExchange, Fibercoin, Transak"
BitcoinCats1Cat,"sanyi_eth_, lubi366, hebi555, SijabatFaj39637, 123gokou, ShaileshKo70658, EricOconno70371, WilliamCar18856, WilsonAdam15087, JMcculloug47326, MylesGutenkunst, AndrewMill63225, Agsschyo_, JustinRodr14064, baraTama1423926, APetty3527, PelumiOyesegunt, GXorrus, DeckerJohn3696, ZDNCH1S, ArunP7928, ThyL64182588, Yang0066btc, AirdropGiven","jodeaw91, MylesGutenkunst, PeppeJnr, whiskeylane_, MEJ50749, Pajacodiek, Dang_Ba_Dat1984, Crypt0_Yoda, AirdropShare5, JellSelena, amandaneku, the_freedomcoin, AmunStellaris, Mhdfxt, kckearly, 0x_neet, DKMOON798, DianaSanchez_04, kyoongbh_","layer3xyz, LightDotSo, elonmusk, MustStopMurad, zenqiratech, GPTWars, htxintern, atdawn_io, GwynToken, OrdiLaunch, TuringBitchain_, JulSwap, gurgavin, Fanta_Goal, IGGYAZALEA, ginoa_io, AILayer_xyz, BiHelix_, daice_0622"
